API,Well_Number,Symbol_Desc,Symbol,Reliab,Location_Source,Lat27,Long27,Lat83,Long83,Wellbore_Status,Last_Permit_Issued,Last_Permit_Operator_Number,Last_Permit_Operator,Last_Permit_Lease_Name,Total_Depth,Surface_Location,Abstract,Survey,Block,Section,Distance1,Direction1,Distance2,Direction2,Proration_Schedule,District,LeaseID,Operator_Number,Operator,Lease_Name,Field,Well_No,Well_Type,On_Schedule,plugDate,plugDepth,plugOperator,plugLeasename
70630117,1,Permitted Location,2,15,Commission`s hardcopy map,28.9978482,-95.1095828,28.99809333,-95.10978987,LOCATION,005880,576910,MONSANTO COMPANY,STATE TRACT 248-L SW/4,0,Offshore,,,,,,,,,,,,,,,,,,,,,,
70630117,,Directional Surface Location,87,,Commission`s hardcopy map,28.9894833,-95.1041208,28.98972868,-95.10432773,LOCATION,005880,576910,MONSANTO COMPANY,STATE TRACT 248-L SW/4,0,Offshore,,,,,,,,,,,,,,,,,,,,,,
70630118,1,Canceled / Abandoned Location,9,15,Commission`s hardcopy map,28.9635737,-95.1004573,28.96381988,-95.10066431,LOCATION,006100,576910,MONSANTO COMPANY,STAE TRACT 276-L NE/4,0,Offshore,,,,,,,,,,,,,,,,,,,,,,
70630132,1,Canceled / Abandoned Location,9,15,Commission`s hardcopy map,28.9889976,-95.1105575,28.98924301,-95.11076468,LOCATION,026224,424200,INEXCO OIL COMPANY,STATE TRACT 248-LGALVESTON AREA,0,Offshore,,,,,,,,,,,,,,,,,,,,,,
70630156,1,Canceled / Abandoned Location,9,15,Commission`s hardcopy map,28.9875558,-95.1104762,28.98780125,-95.11068339,LOCATION,057980,424200,INEXCO OIL COMPANY,STATE TRACT 248-L SW/4,0,Offshore,,,,,,,,,,,,,,,,,,,,,,
70630174,1,Dry Hole,3,15,Commission`s hardcopy map,28.9853784,-95.1131418,28.98562392,-95.11334912,DRY,125563,424200,INEXCO OIL COMPANY,STATE TRACT 248-L,0,Offshore,,,,,,,,,,,,,,,,,,,03/06/1982,0,,
70630179,2,Canceled / Abandoned Location,9,15,Commission`s hardcopy map,28.9587572,-95.0728488,28.95900347,-95.07305477,LOCATION,140633,518930,MTS LIMITED PARTNERSHIP,BLOCK 275-L W/2 UNIT,0,Offshore,,,,,,,,,,,,,,,,,,,,,,
70630207,1,Permitted Location,2,15,Commission`s hardcopy map,28.9718939,-95.0847002,28.97213979,-95.08490652,LOCATION,338033,761701,SEAGULL ENERGY E&P INC.,ST. TRACT 276-L N/E 1/4,0,Offshore,,G.O.M. ST. TRACT 276-L,,,650,N,2400,E,,,,,,,,,,,,,,
70680003,1,Dry Hole,3,15,Commission`s hardcopy map,28.9672774,-95.0810569,28.96752342,-95.08126312,DRY,004647,576910,MONSANTO COMPANY,STATE TRACT 276-L,0,Offshore,,,,,,,,,,,,,,,,,,,08/25/1977,0,,
605,1,Dry Hole,3,15,Commission`s hardcopy map,29.0373876,-95.1168214,29.03763171,-95.11702849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
605,1,Dry Hole,3,15,Commission`s hardcopy map,29.0547776,-95.0787254,29.05502116,-95.07893093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60530156,1,Dry Hole,3,15,Commission`s hardcopy map,29.0535879,-95.0859908,29.05383151,-95.08619662,DRY,375546,748113,SANTA FE ENERGY OPER. PART. LP,STATE TRACT 315-S,0,Offshore,,GOM S 1/2 TR. 315-S,,,2600,N,1500,W,,,,,,,,,,,08/27/1990,7985,SANTA FE ENERGY OPERATING PARTNE,STATE TRACT 315-G
706,3,Dry Hole,3,15,Commission`s hardcopy map,29.035631,-95.0592013,29.03587502,-95.0594062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
706,3,Dry Hole,3,15,Commission`s hardcopy map,29.0305619,-95.0640692,29.03080607,-95.06427431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
706,1,Dry Hole,3,15,Commission`s hardcopy map,29.0275944,-95.0598212,29.02783864,-95.06002617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70630120,1,Canceled / Abandoned Location,9,15,Commission`s hardcopy map,29.031777,-95.0607941,29.03202113,-95.06099908,LOCATION,007798,773845,SHELL OIL COMPANY  -  (OFFSHORE),STATE TRACT 75934,0,Offshore,,,,,,,,,,,,,,,,,,,,,,
70630120,,Directional Surface Location,87,,Commission`s hardcopy map,29.0283018,-95.0596721,29.02854602,-95.05987706,LOCATION,007798,773845,SHELL OIL COMPANY  -  (OFFSHORE),STATE TRACT 75934,0,Offshore,,,,,,,,,,,,,,,,,,,,,,
70630128,5,Dry Hole,3,15,Commission`s hardcopy map,29.0237139,-95.0598837,29.02395824,-95.06008869,DRY,019378,773840,SHELL OIL COMPANY,STATE TRACT,0,Offshore,,,,,,,,,,,,,,,,,,,09/30/1978,0,,
70630129,4,Canceled / Abandoned Location,9,15,Commission`s hardcopy map,29.0326593,-95.0602026,29.0329034,-95.06040755,DRY,019379,773840,SHELL OIL COMPANY,STATE TRACT,0,Offshore,,,,,,,,,,,,,,,,,,,09/15/1978,0,,
706,6,Dry Hole,3,15,Commission`s hardcopy map,29.0088761,-95.0542848,29.00912083,-95.05448966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
706,4,Dry Hole,3,15,Commission`s hardcopy map,29.0130676,-95.0338792,29.01331218,-95.03408325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
706,12,Dry Hole,3,15,Commission`s hardcopy map,29.0196445,-95.0496645,29.01988893,-95.04986912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
706,1,Permitted Location,2,15,Commission`s hardcopy map,28.9848476,-95.0412957,28.98509301,-95.04150023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
706,11,Dry Hole,3,15,Commission`s hardcopy map,29.0089487,-95.0340646,29.00919339,-95.03426868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
706,1,Dry Hole,3,15,Commission`s hardcopy map,29.0267222,-95.0380691,29.02696641,-95.03827324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
706,1,Dry Hole,3,15,Commission`s hardcopy map,29.0168932,-95.0190031,29.01713764,-95.01920656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
706,9,Dry Hole,3,15,Commission`s hardcopy map,29.0038556,-95.0490288,29.00410046,-95.04923349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
706,13,Dry Hole,3,15,Commission`s hardcopy map,29.0103401,-95.0418676,29.01058477,-95.04207198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
706,1,Permitted Location,2,15,Commission`s hardcopy map,29.0066015,-95.0138315,29.00684622,-95.01403482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
706,2,Dry Hole,3,15,Commission`s hardcopy map,29.0037208,-95.0436041,29.00396565,-95.04380858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
706,8,Dry Hole,3,15,Commission`s hardcopy map,29.019382,-95.0414736,29.01962642,-95.04167791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
706,7,Dry Hole,3,15,Commission`s hardcopy map,29.0135585,-95.0477975,29.01380309,-95.04800209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
706,1,Dry Hole,3,15,Commission`s hardcopy map,28.99689,-95.0462656,28.99713505,-95.04647023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
706,3,Dry Hole,3,15,Commission`s hardcopy map,29.0008477,-95.0366617,29.00109262,-95.03686593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
706,10,Dry Hole,3,15,Commission`s hardcopy map,29.0191946,-95.0367855,29.01943902,-95.03698963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
706, ,Dry Hole,3,15,Commission`s hardcopy map,29.0267232,-95.0432735,29.02696742,-95.04347784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70630130,2,Dry Hole,3,15,Commission`s hardcopy map,28.9758703,-95.0374278,28.97611597,-95.03763225,DRY,021163,877060,UNION TEXAS PETROLEUM CORP.,STL 69012;GALVESTON BLOCK 249L,0,Offshore,,,,,,,,,,,,,,,,,,,05/11/1978,0,,
70630221,1S,Plugged Gas Well,8,55,Coordinates - Operator reported,28.97578885,-95.02394171,28.97603455,-95.02414562,PLUG,494904,744605,SAMEDAN OIL CORP. -OFFSHORE DIV.,S. L. 98157,13463,Offshore,,G. O. M. ST. TR. 250-L,,,1063,W,1833,S,GAS,03,170277,744605,SAMEDAN OIL CORP. -OFFSHORE DIV.,S.L. 98157,WILDCAT,1,HISTORY,NO,05/18/2010,13463,,
70630221,,Directional Surface Location,87,,Coordinates - Operator reported,28.9770018,-95.0240755,28.97724741,-95.02427942,PLUG,494904,744605,SAMEDAN OIL CORP. -OFFSHORE DIV.,S. L. 98157,13463,Offshore,,G. O. M. ST. TR. 250-L,,,1063,W,1833,S,GAS,03,170277,744605,SAMEDAN OIL CORP. -OFFSHORE DIV.,S.L. 98157,WILDCAT,1,HISTORY,NO,05/18/2010,13463,,
70630221,1S,Plugged Gas Well,8,55,Coordinates - Operator reported,28.97578885,-95.02394171,28.97603455,-95.02414562,PLUG,494904,744605,SAMEDAN OIL CORP. -OFFSHORE DIV.,S. L. 98157,13463,Offshore,,G. O. M. ST. TR. 250-L,,,1063,W,1833,S,GAS,03,170909,744605,SAMEDAN OIL CORP. -OFFSHORE DIV.,S.L. 98157,"SAN LUIS PASS (""B"" SAND)",1,HISTORY,NO,05/18/2010,13463,,
70630221,1S,Plugged Gas Well,8,55,Coordinates - Operator reported,28.97578885,-95.02394171,28.97603455,-95.02414562,PLUG,494904,744605,SAMEDAN OIL CORP. -OFFSHORE DIV.,S. L. 98157,13463,Offshore,,G. O. M. ST. TR. 250-L,,,1063,W,1833,S,GAS,03,180116,237917,DYNAMIC OFFSHORE RES. NS LLC,S. L. 98157,"SAN LUIS PASS (""D"" SAND)",   1S ,HISTORY,NO,05/18/2010,13463,,
70630221,,Directional Surface Location,87,,Coordinates - Operator reported,28.9770018,-95.0240755,28.97724741,-95.02427942,PLUG,494904,744605,SAMEDAN OIL CORP. -OFFSHORE DIV.,S. L. 98157,13463,Offshore,,G. O. M. ST. TR. 250-L,,,1063,W,1833,S,GAS,03,170909,744605,SAMEDAN OIL CORP. -OFFSHORE DIV.,S.L. 98157,"SAN LUIS PASS (""B"" SAND)",1,HISTORY,NO,05/18/2010,13463,,
70630221,,Directional Surface Location,87,,Coordinates - Operator reported,28.9770018,-95.0240755,28.97724741,-95.02427942,PLUG,494904,744605,SAMEDAN OIL CORP. -OFFSHORE DIV.,S. L. 98157,13463,Offshore,,G. O. M. ST. TR. 250-L,,,1063,W,1833,S,GAS,03,180116,237917,DYNAMIC OFFSHORE RES. NS LLC,S. L. 98157,"SAN LUIS PASS (""D"" SAND)",   1S ,HISTORY,NO,05/18/2010,13463,,
70630224,1,Permitted Location,2,55,Coordinates - Operator reported,28.96872731,-95.02722158,28.96897317,-95.0274257,LOCATION,491876,744605,SAMEDAN OIL CORP. -OFFSHORE DIV.,S. L. 99208,0,Offshore,,GOM ST. TR. 249-L,,,629,E,3137,S,,,,,,,,,,,,,,
70630224,,Directional Surface Location,87,,Coordinates - Operator reported,28.98074219,-95.02922643,28.98098771,-95.02943049,LOCATION,491876,744605,SAMEDAN OIL CORP. -OFFSHORE DIV.,S. L. 99208,0,Offshore,,GOM ST. TR. 249-L,,,629,E,3137,S,,,,,,,,,,,,,,
70630225,1,Plugged Gas Well,8,55,Coordinates - Operator reported,28.97924754,-95.03365785,28.97949306,-95.03386207,PLUG,525999,809920,SPINNAKER EXPLORATION CO.L.L.C.,S. L. 098156,13400,Offshore,,GOM ST. TR. 249-L,,,636,E,3137,S,GAS,03,178811,809920,SPINNAKER EXPLORATION CO.L.L.C.,S. L. 98156,"SAN LUIS PASS (""D"" SAND)",1,HISTORY,NO,11/09/2004,13400,,
70630225,,Directional Surface Location,87,,Coordinates - Operator reported,28.98074274,-95.02924844,28.98098821,-95.02945249,PLUG,525999,809920,SPINNAKER EXPLORATION CO.L.L.C.,S. L. 098156,13400,Offshore,,GOM ST. TR. 249-L,,,636,E,3137,S,GAS,03,178811,809920,SPINNAKER EXPLORATION CO.L.L.C.,S. L. 98156,"SAN LUIS PASS (""D"" SAND)",1,HISTORY,NO,11/09/2004,13400,,
70630225,1,Plugged Gas Well,8,55,Coordinates - Operator reported,28.97924754,-95.03365785,28.97949306,-95.03386207,PLUG,525999,809920,SPINNAKER EXPLORATION CO.L.L.C.,S. L. 098156,13400,Offshore,,GOM ST. TR. 249-L,,,636,E,3137,S,GAS,03,192309,809920,SPINNAKER EXPLORATION CO.L.L.C.,S. L. 098156,"SAN LUIS PASS (""A"" FB A SAND)",1,HISTORY,NO,11/09/2004,13400,,
70630225,,Directional Surface Location,87,,Coordinates - Operator reported,28.98074274,-95.02924844,28.98098821,-95.02945249,PLUG,525999,809920,SPINNAKER EXPLORATION CO.L.L.C.,S. L. 098156,13400,Offshore,,GOM ST. TR. 249-L,,,636,E,3137,S,GAS,03,192309,809920,SPINNAKER EXPLORATION CO.L.L.C.,S. L. 098156,"SAN LUIS PASS (""A"" FB A SAND)",1,HISTORY,NO,11/09/2004,13400,,
70630238,1,Dry Hole,3,55,Coordinates - Operator reported,29.02461567,-95.01673826,29.02485992,-95.01694163,DRY,549925,337001,GRYPHON EXPLORATION COMPANY,STATE TRACT 246-L,0,Offshore,,G. O. M. ST. TR. 246,,,3594,S,2838,W,,,,,,,,,,,10/27/2004,13100,GRYPHON EXPLORATION COMPANY,STATE TRACT 246-L
70630238,,Directional Surface Location,87,,Coordinates - Operator reported,29.02521608,-95.01665227,29.02546031,-95.01685563,DRY,549925,337001,GRYPHON EXPLORATION COMPANY,STATE TRACT 246-L,0,Offshore,,G. O. M. ST. TR. 246,,,3594,S,2838,W,,,,,,,,,,,10/27/2004,13100,GRYPHON EXPLORATION COMPANY,STATE TRACT 246-L
70630177,1,Dry Hole,3,15,Commission`s hardcopy map,28.9467457,-95.0747447,28.94699234,-95.07495084,DRY,131869,518930,MTS LIMITED PARTNERSHIP,BLOCK 275-L W/2 UNIT,0,Offshore,,,,,,,,,,,,,,,,,,,11/23/1981,0,,
70630206,1,Dry Hole,3,15,Commission`s hardcopy map,28.9503998,-95.0844876,28.95064635,-95.08469409,DRY,338034,761701,SEAGULL ENERGY E&P INC.,ST. TRACT 276-L S/E 1/4,0,Offshore,,G.O.M.ST. TRACT 276-L,,,7350,S,2050,E,,,,,,,,,,,12/22/1987,9900,SEAGULL ENERGY E&P INC.,STATE TRACT 276-L S/E 1/4
60530130,1,Permitted Location,2,15,Commission`s hardcopy map,28.9747145,-95.1781598,28.97496048,-95.17836974,LOCATION,102254,738100,RUTHERFORD OIL CORPORATION,GALVESTON AREA STATE TRACT 349-S,0,Offshore,,,,,,,,,,,,,,,,,,,,,,
60530132,1,Dry Hole,3,15,Commission`s hardcopy map,28.9794487,-95.1847745,28.97969454,-95.18498465,DRY,110293,738100,RUTHERFORD OIL CORPORATION,GALVESTON AREA STATE TRACT 341-S,0,Offshore,,,,,,,,,,,,,,,,,,,04/22/1981,0,,
60530132,,Directional Surface Location,87,,Commission`s hardcopy map,28.9747288,-95.178162,28.97497478,-95.17837194,DRY,110293,738100,RUTHERFORD OIL CORPORATION,GALVESTON AREA STATE TRACT 341-S,0,Offshore,,,,,,,,,,,,,,,,,,,04/22/1981,0,,
60530158,1,Permitted Location,2,40,Operator reported location - Distances and Plat,28.967938,-95.1780165,28.9681842,-95.1782265,LOCATION,395345,744605,SAMEDAN OIL CORP. -OFFSHORE DIV.,S. T. 349-S,0,Offshore,,ST. TR. 349-S GOM,,,500,E,2180,S,,,,,,,,,,,,,,
60530166,1,Permitted Location,2,55,Coordinates - Operator reported,28.96588338,-95.17840601,28.96612966,-95.17861604,LOCATION,493240,744605,SAMEDAN OIL CORP. -OFFSHORE DIV.,S.L. 98166,0,Offshore,,GOM ST TR 349S,,,600,E,1337,N,,,,,,,,,,,,,,
60530166,,Directional Surface Location,87,,Coordinates - Operator reported,28.97279434,-95.17814913,28.97304034,-95.17835906,LOCATION,493240,744605,SAMEDAN OIL CORP. -OFFSHORE DIV.,S.L. 98166,0,Offshore,,GOM ST TR 349S,,,600,E,1337,N,,,,,,,,,,,,,,
60530169,1,Plugged Gas Well,8,55,Coordinates - Operator reported,2243366.764,4538090.84645669,28.99020139,-95.18118362,PLUG,555869,524897,MANTI OPERATING COMPANY,STATE TRACT 341,9500,Offshore,0,GOM ST TR 334 S,,,1330,W,706,S,GAS,03,236337,741936,SABALO EXPLORATION OPERATINGLLC,STATE TRACT 341,TARPON SW,1,HISTORY,NO,09/07/2013,9500,,
70630249,1,Dry Hole,3,55,Coordinates - Operator reported,28.97098254,-95.13099595,28.97122851,-95.13120404,DRY,690438,173190,CONTANGO OPERATORS INC.,STATE TRACT 277-L,0,Offshore,,,,,,,,,,,,,,,,,,,11/12/2010,14005,CONTANGO OPERATORS INC.,STATE TRACT 277-L
